SNO,REGION,DISTRICT,VILLAGE,DATE_OF_OBSERVATION,DISEASE,SPECIE_AFFECTED,CASES,DEATH,NO_AT_RISK,TREATED,DESTROYED,SLAUGHTERED,VACCINATED,LAT,LONG,
22,Arusha,Arumeru,Sang'isi,1-Jul-2017,Rabies,Dog,1,1,56,0,0,0,0,3.61667,36.96667,
23,Rukwa,Mpanda,Bulenda,5-Jul-2017,Rabies,Dog,3,3,19,0,0,0,0,-5.58333,30.50000,
24,Tanga,Pangani,Mkwaja,18-Jul-2017,Rabies,Dog,2,2,183,0,0,0,5,-5.78333,38.85000,
25,Kilimanjaro,Moshi,Himo,17-Aug-2017,Rabies,Dog,1,1,34,0,0,0,10,-3.38333,37.55000,
26,Rukwa,Mpanda,Kampemba,21-Aug-2017,Rabies,Dog,6,6,99,0,0,0,0,-6.78333,30.53333,
27,Rukwa,Mpanda,Mwenge,13-Sep-2017,Rabies,Dog,7,3,205,0,0,0,0,-6.36667,31.23333,
28,Tanga,Pangani,Mivumoni,16-Sep-2017,Rabies,Dog,6,6,121,0,0,0,84,-5.33333,38.58333,
29,Tanga,Handeni,Kilindi,20-Sep-2017,Rabies,Dog,16,10,200,0,0,0,0,-5.63333,37.60000,
30,Dodoma,Dodoma,Bahi,26-Oct-2017,Rabies,Dog,2,2,169,0,0,0,0,-5.98333,35.31667,
31,Mara,Musoma,Bisumwa,28-Oct-2017,Rabies,Dog,4,4,56,0,0,0,20,-1.58333,33.80000,
32,Geita,Geita,mwatulole,15-Jan-2018,Rabies,Dog,1,1,1,0,1,0,0,-2.89069,32.28316,
33,Tanga,Kilindi,kwamwande,20-Feb-2018,Rabies,Canine,4,2,33,0,2,0,11,-5.57251,37.28954,
34,Mara,Bunda,Bunere,10-May-2018,Rabies,Dog,1,1,162,0,0,0,0,-2.02314,33.86181,
35,Arusha,Arusha,Timbolo Village - Arusha DC,4-Jun-2018,Rabies,Goat,1,0,96,0,1,0,0,-3.29138,36.67547,
36,Arusha,Arusha,Sambasha Village - Arusha DC,6-Jul-2018,Rabies,Dog,1,1,135,0,1,0,0,-3.36313,36.70945,
37,Tanga,Muheza,Mikocheni,14-Aug-2018,Rabies,Dog,4,2,123,0,2,0,105,-5.18366,38.79271,
